Bit Num,Byte Num,Description,Name,Value
1,1,Signal 10/30 Route Available,10-30-UAKR,0
2,1,Signal 10/26 Route Available,10-26-UAKR,0
3,1,Signal 15/6 A Route Available,15-6A-UAKR,0
4,1,Signal 15/6 B Route Available,15-6B-UAKR,0
5,1,Signal 15/10 Route Available,15-10-UAKR,0
6,1,Signal 15/12 Route Available,15-12-UAKR,0
7,1,Signal 15/30 Route Available,15-30-UAKR,0
8,1,Signal 15/26 Route Available,15-26-UAKR,0
9,2,Signal 20/6 A Route Available,20-6A-UAKR,0
10,2,Signal 20/6 B Route Available,20-6B-UAKR,0
11,2,Signal 20/6 C Route Available,20-6C-UAKR,0
12,2,Signal 20/6 D Route Available,20-6D-UAKR,0
13,2,Signal 20/6 E Route Available,20-6E-UAKR,0
14,2,Signal 20/10 Route Available,20-10-UAKR,0
15,2,Signal 20/12 Route Available,20-12-UAKR,0
16,2,Signal 20/14 Route Available,20-14-UAKR,0
17,3,Signal 20/16 Route Available,20-16-UAKR,0
18,3,Signal 20/20 Route Available,20-20-UAKR,0
19,3,Signal 20/30 Route Available,20-30-UAKR,0
20,3,Signal 20/32 Route Available,20-32-UAKR,0
21,3,Signal 20/34 Route Available,20-34-UAKR,0
22,3,Signal 20/36 Route Available,20-36-UAKR,0
23,3,Signal 20/40 Route Available,20-40-UAKR,0
24,3,Signal 20/26 A Route Available,20-26A-UAKR,0
25,4,Signal 20/26 B Route Available,20-26B-UAKR,0
26,4,Signal 20/26 C Route Available,20-26C-UAKR,0
27,4,SPARE,SPARE,0
28,4,SPARE,SPARE,0
29,4,SPARE,SPARE,0
30,4,SPARE,SPARE,0
31,4,SPARE,SPARE,0
32,4,SPARE,SPARE,0
33,5,Signal 10/30 Stop,10-30-NGP,0
34,5,Signal 10/30 Main Arm Proceed,10-30-RGP,0
35,5,Signal 10/30 Route Normal,10-30-NLR,0
36,5,Signal 10/30 Blocked,10-30-BLZR,0
37,5,Signal 10/26 Stop,10-26-NGP,0
38,5,Signal 10/26 Main Arm Proceed,10-26-RGP,0
39,5,Signal 10/26 Route Normal,10-26-NLR,0
40,5,Signal 10/26 Blocked,10-26-BLZR,0
41,6,Signal 15/6 Stop,15-6-NGP,0
42,6,Signal 15/6 Main Arm Proceed,15-6-RGP,0
43,6,Signal 15/6 Low Speed Proceed,C15-6-RGP,0
44,6,Signal 15/6 A Route Normal,15-6A-NLR,0
45,6,Signal 15/6 B Route Normal,15-6B-NLR,0
46,6,Signal 15/6 Blocked,15-6-BLZR,0
47,6,Signal 15/10 Stop,15-10-NGP,0
48,6,Signal 15/10 Main Arm Proceed,15-10-RGP,0
49,7,Signal 15/10 Route Normal,15-10-NLR,0
50,7,Signal 15/10 Blocked,15-10-BLZR,0
51,7,Signal 15/12 Stop,15-12-NGP,0
52,7,Signal 15/12 Main Arm Proceed,15-12-RGP,0
53,7,Signal 15/12 Route Normal,15-12-NLR,0
54,7,Signal 15/12 Blocked,15-12-BLZR,0
55,7,Signal 15/30 Stop,15-30-NGP,0
56,7,Signal 15/30 Main Arm Proceed,15-30-RGP,0
57,8,Signal 15/30 Route Normal,15-30-NLR,0
58,8,Signal 15/30 Blocked,15-30-BLZR,0
59,8,Signal 15/26 Stop,15-26-NGP,0
60,8,Signal 15/26 Main Arm Proceed,15-26-RGP,0
61,8,Signal 15/26 Route Normal,15-26-NLR,0
62,8,Signal 15/26 Blocked,15-26-BLZR,0
63,8,Signal 20/6 Stop,20-6-NGP,0
64,8,Signal 20/6 Main Arm Proceed,20-6-RGP,0
65,9,Signal 20/6 Low Speed Proceed,C20-6-RGP,0
66,9,Signal 20/6 A Route Normal,20-6A-NLR,0
67,9,Signal 20/6 B Route Normal,20-6B-NLR,0
68,9,Signal 20/6 C Route Normal,20-6C-NLR,0
69,9,Signal 20/6 D Route Normal,20-6D-NLR,0
70,9,Signal 20/6 E Route Normal,20-6E-NLR,0
71,9,Signal 20/6 Blocked,20-6-BLZR,0
72,9,Signal 20/10 Stop,20-10-NGP,0
73,10,Signal 20/10 Main Arm Proceed,20-10-RGP,0
74,10,Signal 20/10 Route Normal,20-10-NLR,0
75,10,Signal 20/10 Blocked,20-10-BLZR,0
76,10,Signal 20/12 Stop,20-12-NGP,0
77,10,Signal 20/12 Main Arm Proceed,20-12-RGP,0
78,10,Signal 20/12 Route Normal,20-12-NLR,0
79,10,Signal 20/12 Blocked,20-12-BLZR,0
80,10,Signal 20/14 Stop,20-14-NGP,0
81,11,Signal 20/14 Main Arm Proceed,20-14-RGP,0
82,11,Signal 20/14 Route Normal,20-14-NLR,0
83,11,Signal 20/14 Blocked,20-14-BLZR,0
84,11,Signal 20/16 Stop,20-16-NGP,0
85,11,Signal 20/16 Main Arm Proceed,20-16-RGP,0
86,11,Signal 20/16 Route Normal,20-16-NLR,0
87,11,Signal 20/16 Blocked,20-16-BLZR,0
88,11,Signal 20/20 Stop,20-20-NGP,0
89,12,Signal 20/20 Main Arm Proceed,20-20-RGP,0
90,12,Signal 20/20 Route Normal,20-20-NLR,0
91,12,Signal 20/20 Blocked,20-20-BLZR,0
92,12,Signal 20/30 Stop,20-30-NGP,0
93,12,Signal 20/30 Main Arm Proceed,20-30-RGP,0
94,12,Signal 20/30 Route Normal,20-30-NLR,0
95,12,Signal 20/30 Blocked,20-30-BLZR,0
96,12,Signal 20/32 Stop,20-32-NGP,0
97,13,Signal 20/32 Main Arm Proceed,20-32-RGP,0
98,13,Signal 20/32 Route Normal,20-32-NLR,0
99,13,Signal 20/32 Blocked,20-32-BLZR,0
100,13,Signal 20/34 Stop,20-34-NGP,0
101,13,Signal 20/34 Main Arm Proceed,20-34-RGP,0
102,13,Signal 20/34 Route Normal,20-34-NLR,0
103,13,Signal 20/34 Blocked,20-34-BLZR,0
104,13,Signal 20/36 Stop,20-36-NGP3,0
105,14,Signal 20/36 Low Speed Proceed,20-36-RGP3,0
106,14,Signal 20/36 Route Normal,20-36-NLR,0
107,14,Signal 20/40 Stop,20-40-NGP3,0
108,14,Signal 20/40 Low Speed Proceed,20-40-RGP3,0
109,14,Signal 20/40 Route Normal,20-40-NLR,0
110,14,Signal 20/26 Stop,20-26-NGP,0
111,14,Signal 20/26 Main Arm Proceed,20-26-RGP,0
112,14,Signal 20/26 Low Speed Proceed,C20-26-RGP,0
113,15,Signal 20/26 A Route Normal,20-26A-NLR,0
114,15,Signal 20/26 B Route Normal,20-26B-NLR,0
115,15,Signal 20/26 C Route Normal,20-26C-NLR,0
116,15,Signal 20/26 Blocked,20-26-BLZR,0
117,15,SPARE,SPARE,0
118,15,SPARE,SPARE,0
119,15,SPARE,SPARE,0
120,15,SPARE,SPARE,0
121,16,Points 11 Normal Detection,11-NWPP,1
122,16,Points 11 Reverse Detection,11-RWPP,0
123,16,Points 11 Locked,11-WZR,0
124,16,Points 11 In Hand,11-JP,0
125,16,Points 11 Timer Alarm (NUIP),11-WNP,0
126,16,Points 31 Normal Detection,31-NLP3,0
127,16,Points 7 Normal Detection,7-NWPP2,1
128,16,Points 7 Reverse Detection,7-RWPP2,0
129,17,Points 7 Locked,7-WZR,0
130,17,Points 7 In Hand,7-JP2,0
131,17,Points 7 Timer Alarm (NUIP),7-WNP2,0
132,17,Points 15 Normal Detection,15-NWPP2,1
133,17,Points 15 Reverse Detection,15-RWPP2,0
134,17,Points 15 Locked,15-WZR,0
135,17,Points 15 In Hand,15-JP2,0
136,17,Points 15 Timer Alarm (NUIP),15-WNP2,0
137,18,Points 17 Normal Detection,17-NWPP2,1
138,18,Points 17 Reverse Detection,17-RWPP2,0
139,18,Points 17 Locked,17-WZR,0
140,18,Points 17 In Hand,17-JP2,0
141,18,Points 17 Timer Alarm (NUIP),17-WNP2,0
142,18,Points 19 Normal Detection,19-NWPP2,1
143,18,Points 19 Reverse Detection,19-RWPP2,0
144,18,Points 19 Locked,19-WZR,0
145,19,Points 19 In Hand,19-JP2,0
146,19,Points 19 Timer Alarm (NUIP),19-WNP2,0
147,19,Points 21 Normal Detection,21-NWPP,1
148,19,Points 21 Reverse Detection,21-RWPP,0
149,19,Points 21 Locked,21-WZR,0
150,19,Points 21 In Hand,21-JP,0
151,19,Points 21 Timer Alarm (NUIP),21-WNP,0
152,19,Points 23 Normal Detection,23-NWPP2,1
153,20,Points 23 Reverse Detection,23-RWPP2,0
154,20,Points 23 Locked,23-WZR,0
155,20,Points 23 In Hand,23-JP2,0
156,20,Points 23 Timer Alarm (NUIP),23-WNP2,0
157,20,Points 27 Normal Detection,27-NWPP2,1
158,20,Points 27 Reverse Detection,27-RWPP2,0
159,20,Points 27 Locked,27-WZR,0
160,20,Points 27 In Hand,27-JP2,0
161,21,Points 27 Timer Alarm (NUIP),27-WNP2,0
162,21,Points 29 Normal Detection,29-NWPP2,1
163,21,Points 29 Reverse Detection,29-RWPP2,0
164,21,Points 29 Locked,29-WZR,0
165,21,Points 29 In Hand,29-JP2,0
166,21,Points 29 Timer Alarm (NUIP),29-WNP2,0
167,21,SPARE,SPARE,0
168,21,SPARE,SPARE,0
169,22,Track GGG456T Clear,456-TPP,0
170,22,Track GGG456T Timed Indication,C10-30-NP,0
171,22,Track GGG1030T Clear,10-30-S,0
172,22,Track GGG1028T Clear,10-26-S,0
173,22,Track GGG457T Clear,457-TPP,0
174,22,Track GGG457T Timed Indication,C15-6-NP,0
175,22,Track 11T Clear,15-6-S,0
176,22,Track GGG564T Clear,564-TPP,0
177,23,Track GGG564T Timed Indication,C15-10-NP,0
178,23,Track 31T Clear,31-TKP,0
179,23,Track GGG1530T Clear,15-26-S,0
180,23,Track GGG584T Clear,584-TPP,0
181,23,Track GGG584T Timed Indication,C20-6-NP,0
182,23,Track 206T Clear,20-6-S,0
183,23,Track 208T Clear,208-TPP,0
184,23,Track 7T Clear,7-TPP,0
185,24,Track 17T Clear,20-14-S,0
186,24,Track 21T Clear,20-16-S,0
187,24,Track 2010T Clear,20-10-S,0
188,24,Track 2012T Clear,20-12-S,0
189,24,Track A2014T Clear,A2014-TPP,0
190,24,Track A2016T Clear,A2016-TPP,0
191,24,Track A2020T Clear,A2020-TPP,0
192,24,Track 6T Clear,6-TPP,0
193,25,Track 6T Timed Indication,C20-10-NP,0
194,25,Track 26T Clear,26-TPP,0
195,25,Track 26T Timed Indication,C20-12-NP,0
196,25,Track A2036T Clear,A2036-TPP,0
197,25,Track A2036T Timed Indication,C20-36-NP,0
198,25,Track 2036T Clear,20-36-S,0
199,25,Track 2030T Clear,20-30-S,0
200,25,Track 2032T Clear,20-32-S,0
201,26,Track 27T Clear,20-26-S,0
202,26,Track 29T Clear,20-34-S,0
203,26,Track GGG802T Track Clear,802-TPP2,0
204,26,Track GGG802T Timed Indication,C20-26-NP,0
205,26,Signal 20/26 Approach Clear (NUIP),20-26-AR2,0
206,26,SPARE,SPARE,0
207,26,SPARE,SPARE,0
208,26,SPARE,SPARE,0
209,27,Champion Road Level Crossing Clear,CR-FCP3,0
210,27,Champion Road Boom Barriers Down,CR-FGNPP3,0
211,27,Maddox Road Level Crossing Clear,MR-FCP3,0
212,27,Maddox Road Boom Barriers Down,MR-FGNPP3,0
213,27,Maidstone Street Level Crossing Clear,MS-FCP3,0
214,27,Maidstone Street Boom Barriers Down,MS-FGNPP3,0
215,27,LVL-MAN Block Free (NUIP),30_32_34-BR,0
216,27,LVL-MAN Block Claimed (NUIP),30_32_34-DBR,0
217,28,MAN-LVL Traffic (NUIP),802-FRA,0
218,28,SPARE,SPARE,0
219,28,SPARE,SPARE,0
220,28,SPARE,SPARE,0
221,28,SPARE,SPARE,0
222,28,SPARE,SPARE,0
223,28,SPARE,SPARE,0
224,28,SPARE,SPARE,0
225,29,Up End (206ZB) Generator On,GEN-ONP2,0
226,29,Up End (206ZB) Generator Low Oil,LOW-OILP2,0
227,29,Up End (206ZB) Generator High Temp.,HI-TEMP3,0
228,29,Up End (206ZB) Generator Trip,GEN-TRIP3,0
229,29,Up End (206ZB) Generator Run,GEN-RUNP2,0
230,29,Down End (2030ZB) Generator On ,GEN-OKP2,0
231,29,Down End (2030ZB) Generator Fail,GEN-FAILP2,0
232,29,SPARE,SPARE,0
